,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,318.2,441.6,432.2,335.4,714.2,475.0,793.4,649.6,337.4,607.8
1,110.2,126.8,119.6,99.6,347.2,115.2,283.0,152.8,72.6,158.8
2,129.2,153.8,238.6,204.2,463.0,212.4,515.0,359.0,175.0,288.4
3,191.2,183.8,251.4,175.0,511.8,265.4,573.4,348.8,158.2,353.6
4,186.2,166.4,254.6,286.8,422.2,221.2,466.8,338.2,175.6,262.2
5,338.4,353.6,548.4,400.6,779.2,384.4,828.8,708.4,413.6,603.8
6,135.6,234.6,234.4,192.8,563.2,239.2,448.2,252.6,132.0,343.8
7,159.6,185.2,254.4,312.2,576.2,189.6,503.8,358.2,162.0,351.2
8,142.8,130.2,182.4,204.2,400.2,138.4,457.4,325.0,152.6,197.4
9,358.4,387.0,437.4,422.6,698.0,488.8,913.8,698.0,407.4,621.8
