,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,120.2,113.4,277.8,230.0,287.4,136.6,374.6,251.6,167.4,266.2
1,66.6,74.6,148.4,118.4,183.4,83.8,184.0,137.2,86.4,136.8
2,99.0,107.2,236.6,222.0,225.8,137.6,326.0,188.2,151.4,199.8
3,97.0,115.2,281.8,211.8,280.2,130.8,324.4,192.6,151.4,224.8
4,134.8,104.6,322.2,281.8,277.4,182.0,447.0,279.2,148.6,289.2
5,94.6,117.8,293.8,206.0,227.0,121.4,340.0,202.6,147.0,232.0
6,164.0,155.4,366.6,295.4,295.2,171.0,456.4,330.2,217.4,319.6
7,57.8,79.8,199.2,142.6,176.2,79.0,221.4,145.8,102.6,149.8
8,115.2,114.8,270.0,273.0,268.8,150.4,364.8,243.0,181.2,252.0
9,98.6,119.4,272.0,259.4,256.4,144.2,360.8,256.0,200.2,242.4
