,2,3,4+,all
0,0.5434325287281989,0.3858330338580752,0.3000886897315273,0.4529568222910877
1,0.5477761110132908,0.3911861300287395,0.3571571600203863,0.4574476872663328
2,0.5425388878843378,0.35578846024301314,0.36371309790954937,0.45714121703061517
3,0.5462941101351911,0.36467399811344847,0.336834002597299,0.4491136536937955
4,0.547712111272894,0.39485848814359403,0.3210096392502845,0.4572641045857628
5,0.5591528554469207,0.37288281173517634,0.3442092318236974,0.4569966677399682
6,0.5520081531649378,0.34527651859233094,0.3470230456288622,0.4441995029708755
7,0.541753837686165,0.4018152517349843,0.3211248863470392,0.45735873250408404
8,0.5431432497620702,0.38051447329816235,0.28922365136968525,0.4542712318466079
9,0.5449160042027296,0.3948513159005742,0.31536352054603467,0.4533475429084036
