,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,431.8,757.6,848.8,784.0,666.0,564.0,1072.4,662.2,884.8,574.0
1,813.4,1026.6,1329.2,1175.6,1173.2,922.8,1743.4,1141.2,1354.2,1031.8
2,635.6,942.0,1209.0,1051.2,955.2,803.4,1438.8,991.0,1205.6,960.8
3,498.8,762.4,868.4,865.2,754.0,619.0,1215.2,723.2,1038.8,755.4
4,601.8,820.0,1194.8,1109.8,881.4,837.8,1465.2,1024.6,1215.4,911.4
5,510.2,755.6,867.2,889.4,762.6,672.2,1117.0,780.0,984.4,704.8
6,506.6,687.4,1022.4,804.0,798.0,664.0,1281.8,765.6,1019.0,762.2
7,474.6,760.8,907.2,841.4,742.4,620.4,1173.6,819.0,914.6,712.2
8,495.4,773.2,954.6,879.2,702.6,639.2,1256.2,749.0,1024.8,748.6
9,569.6,870.2,1317.2,1109.8,1004.0,876.4,1631.8,1071.6,1259.2,933.0
