,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,94.6,152.8,415.0,188.6,357.6,220.2,577.4,485.8,150.0,321.4
1,75.2,171.2,127.6,144.0,338.2,330.4,499.8,294.2,162.6,254.0
2,38.0,34.6,53.2,63.0,169.4,126.4,235.0,157.4,66.2,176.4
3,68.6,61.8,82.4,171.0,261.8,132.6,285.2,289.8,106.4,142.4
4,91.6,44.0,107.0,112.4,206.8,124.8,264.6,221.4,122.0,159.0
5,82.0,55.8,92.2,162.8,295.6,161.8,367.2,315.4,59.4,169.0
6,80.6,95.4,155.4,196.2,365.8,138.8,283.4,221.8,112.8,166.8
7,93.2,57.8,183.4,89.4,218.8,152.0,278.0,243.0,100.8,127.6
8,73.6,33.4,202.0,236.2,268.0,140.0,340.8,322.4,121.4,228.8
9,23.8,40.4,117.0,85.2,289.0,78.2,143.2,135.6,92.6,134.6
