,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,117.8,424.8,135.6,169.6,532.2,290.2,663.6,388.0,385.6,330.4
1,253.8,923.6,209.8,478.4,777.6,520.6,1115.2,788.0,396.6,651.6
2,46.2,295.0,80.0,198.8,404.6,176.8,415.2,315.0,150.8,262.0
3,98.2,308.2,120.6,201.8,584.2,259.6,517.2,314.2,130.4,260.6
4,242.0,723.8,184.0,348.8,951.2,520.8,1187.0,711.6,309.6,567.8
5,140.0,436.4,104.2,188.8,602.4,268.2,599.6,416.8,282.8,371.6
6,82.8,265.6,61.6,112.4,293.6,160.8,353.6,205.0,132.6,232.8
7,201.8,807.0,243.6,568.0,856.6,535.8,1322.2,772.6,389.2,658.4
8,232.8,689.6,220.2,489.8,800.0,433.4,890.8,678.0,376.2,574.4
9,175.6,526.6,163.8,293.4,523.4,319.4,763.0,512.4,273.0,496.8
