,2,3,4,5,6+,all
0,0.49808193125230904,0.7438436129263775,0.8242793166961523,0.7752964773496938,0.8288325509094981,0.7153897449948702
1,0.5042619431083596,0.7333274617362983,0.8058740360638625,0.8112459347447152,0.8066422451254883,0.7054784230350533
2,0.5290626245701012,0.7486668588683679,0.8124126806258566,0.7783337924025207,0.8130998976062026,0.719836946343934
3,0.48552184687129324,0.7311998984438091,0.7709870159015859,0.7740757484693238,0.8170103704411573,0.6904962763622936
4,0.524138233894527,0.7559823051479226,0.816723205052412,0.792316416909024,0.818225492704876,0.7244563805254275
5,0.5194135291692585,0.7418551238391442,0.7815092944594314,0.8099805582531854,0.825808927581057,0.7143278596539682
6,0.4980527809640279,0.7456681698903369,0.7885857873861808,0.7559743562922943,0.796291470003508,0.7001533651885696
7,0.5019400899779188,0.7521519444927375,0.8189388776181981,0.7901318346886322,0.8129974720855604,0.7140653427653293
8,0.5043523328615696,0.7405275470896433,0.8105065884624875,0.7742693270960176,0.8076666752186972,0.7051393025824318
9,0.47336898292731205,0.7366034237869071,0.7968794796727787,0.7784559418634576,0.8155231315800687,0.6897285274517072
