,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,270.8,548.8,487.6,440.0,716.2,386.0,770.0,489.6,481.8,341.8
1,307.8,669.2,744.6,607.8,925.2,589.0,1069.0,673.2,721.2,509.8
2,237.8,439.4,458.8,349.6,612.0,328.2,654.6,444.6,453.4,287.2
3,201.4,419.8,433.8,325.6,657.0,357.4,631.6,365.2,438.8,322.4
4,248.0,628.2,544.2,587.6,1033.2,576.8,1102.8,649.2,705.4,475.8
5,242.0,395.6,479.6,388.2,611.6,372.2,668.8,416.2,434.4,327.6
6,254.2,518.2,525.8,461.2,772.2,434.2,748.2,493.8,511.2,323.6
7,142.4,318.0,269.4,250.0,438.4,248.2,461.8,248.6,311.4,204.2
8,196.2,416.6,390.4,358.6,569.2,304.0,639.6,359.8,444.0,295.2
9,151.6,334.8,275.6,231.2,457.6,232.4,472.8,243.0,345.4,219.6
